num,word,pinyin,radical,stroke_count,wuxing,traditional,wubi,pinyin_initial,pinyin_final,tone
1011,直,zhí,十,8,火,直,FHF,zh,i,2
1012,茁,zhuó,艹,8,木,茁,ABMJ,zh,uo,2
1013,茄,"qié,jiā",艹,8,木,茄,ALKF,q,ie,2
1014,茎,jīng,艹,8,木,莖,ACAF,j,ing,1
1015,苔,"tái,tāi",艹,8,木,苔,ACKF,t,ai,2
1016,茅,máo,艹,8,木,茅,ACBT,m,ao,2
1017,枉,wǎng,木,8,木,枉,SGG,w,ang,3
1018,林,lín,木,8,木,林,SSY,l,in,2
1019,枝,"zhī,qí",木,8,木,枝,SFCY,zh,i,1
1020,杯,bēi,木,8,木,杯,SGIY,b,ei,1
1021,枢,shū,木,8,木,樞,SAQY,sh,u,1
1022,柜,"guì,jǔ",木,8,木,櫃,SANG,j,u,3
1023,枚,méi,木,8,木,枚,STY,m,ei,2
1024,析,xī,木,8,木,析,SRH,x,i,1
1025,板,bǎn,木,8,木,闆,SRCY,b,an,3
1026,松,sōng,木,8,木,鬆,SWCY,s,ong,1
1027,枪,qiāng,木,8,木,槍,SWBN,q,iang,1
1028,枫,fēng,木,8,木,楓,SMQY,f,eng,1
1029,构,gòu,木,8,木,構,SQCY,g,ou,4
1030,杭,háng,木,8,木,杭,SYMN,h,ang,2
1031,杰,jié,木,8,木,杰,SOU,j,ie,2
1032,述,shù,辶,8,金,述,SYPI,sh,u,4
1033,枕,zhěn,木,8,木,枕,SPQN,zh,en,3
1034,丧,"sàng,sāng",十,8,金,喪,FUEU,s,ang,1
1035,或,huò,戈,8,水,或,AKGD,h,uo,4
1036,画,huà,一,8,土,畫,GLBJ,h,ua,4
1037,卧,wò,臣,8,木,卧,AHNH,w,o,4
1038,事,shì,一,8,金,事,GKVH,sh,i,4
1039,刺,"cì,cī",刂,8,金,刺,GMIJ,c,i,4
1040,枣,zǎo,木,8,金,棗,GMIU,z,ao,3
1041,雨,"yǔ,yù",雨,8,水,雨,FGHY,y,u,3
1042,卖,mài,十,8,水,賣,FNUD,m,ai,4
1043,郁,yù,阝,8,水,鬱,DEBH,y,u,4
1044,矾,fán,石,8,土,礬,DMYY,f,an,2
1045,矿,kuàng,石,8,土,礦,DYT,k,uang,4
1046,码,mǎ,石,8,水,碼,DCG,m,a,3
1047,厕,cè,厂,8,金,厠,DMJK,c,e,4
1048,奈,nài,大,8,火,奈,DFIU,n,ai,4
1049,奔,"bēn,bèn",大,8,水,奔,DFAJ,b,en,1
1050,奇,"qí,jī",大,8,木,奇,DSKF,q,i,2
1051,奋,fèn,大,8,水,奮,DLF,f,en,4
1052,态,tài,心,8,火,態,DYNU,t,ai,4
1053,欧,ōu,欠,8,土,歐,AQQW,,ou,1
1054,殴,ōu,殳,8,土,毆,AQMC,,ou,1
1055,垄,lǒng,土,8,土,壟,DXFF,l,ong,3
1056,妻,"qī,qì",女,8,金,妻,GVHV,q,i,1
1057,轰,hōng,车,8,水,轟,LCCU,h,ong,1
1058,顷,qǐng,页,8,木,頃,XDMY,q,ing,3
1059,转,"zhuǎn,zhuàn,zhuǎi",车,8,火,轉,LFNY,zh,uan,3
1060,斩,zhǎn,斤,8,火,斬,LRH,zh,an,3
1061,轮,lún,车,8,火,輪,LWXN,l,un,2
1062,软,ruǎn,车,8,火,軟,LQWY,r,uan,3
1063,到,dào,至,8,火,到,GCFJ,d,ao,4
1064,非,fēi,非,8,水,非,,f,ei,1
1065,叔,shū,又,8,金,叔,HICY,sh,u,1
1066,歧,qí,止,8,木,歧,HFCY,q,i,2
1067,肯,kěn,止,8,木,肯,HEF,k,en,3
1068,齿,chǐ,齿,8,火,齒,HWBJ,ch,i,3
1069,些,xiē,止,8,金,些,HXFF,x,ie,1
1070,卓,zhuó,十,8,火,卓,HJJ,zh,uo,2
1071,虎,hǔ,虎,8,水,虎,HAMV,h,u,3
1072,虏,lǔ,虍,8,火,虜,HALV,l,u,3
1073,肾,shèn,月,8,金,腎,JCEF,sh,en,4
1074,贤,xián,贝,8,木,賢,JCMU,x,ian,2
1075,尚,shàng,⺌,8,金,尚,IMKF,sh,ang,4
1076,旺,wàng,日,8,土,旺,JGG,w,ang,4
1077,具,jù,八,8,木,具,HWU,j,u,4
1078,味,wèi,口,8,水,味,KFIY,w,ei,4
1079,果,guǒ,丨、木,8,木,果,JSI,g,uo,3
1080,昆,kūn,日,8,火,昆,JXXB,k,un,1
1081,国,guó,囗,8,木,國,LGYI,g,uo,2
1082,哎,āi,口,8,火,哎,KAQY,,ai,1
1083,咕,gū,口,8,木,咕,KDG,g,u,1
1084,昌,chāng,日,8,金,昌,JJF,ch,ang,1
1085,呵,"hē,ā,á,ǎ,à,a,kē",口,8,水,呵,KSKG,h,e,1
1086,畅,chàng,丨,8,火,暢,JHNR,ch,ang,4
1087,明,míng,日,8,水,明,JEG,m,ing,2
1088,易,yì,日,8,火,易,JQRR,y,i,4
1089,咙,lóng,口,8,火,嚨,KDXN,l,ong,2
1090,昂,áng,日,8,木,昂,JQBJ,,ang,2
1091,迪,dí,辶,8,火,迪,MPD,d,i,2
1092,典,diǎn,八,8,火,典,MAWU,d,ian,3
1093,固,gù,囗,8,木,固,LDD,g,u,4
1094,忠,zhōng,心,8,火,忠,KHNU,zh,ong,1
1095,呻,shēn,口,8,金,呻,KJHH,sh,en,1
1096,咒,zhòu,几,8,金,咒,KKMB,zh,ou,4
1097,咋,"zǎ,zé,zhā",口,8,金,咋,KTHF,z,a,3
1098,咐,fù,口,8,水,咐,KWFY,f,u,4
1099,呼,hū,口,8,水,呼,KTUH,h,u,1
1100,鸣,míng,口,8,水,鳴,KQYG,m,ing,2
1101,咏,yǒng,口,8,土,咏,KYNI,y,ong,3
1102,呢,"ne,ní",口,8,木,呢,KNXN,n,i,2
1103,咄,duō,口,8,火,咄,KBMH,d,uo,1
1104,咖,"kā,gā",口,8,木,咖,KLKG,k,a,1
1105,岸,àn,山,8,水,岸,MDFJ,,an,4
1106,岩,yán,山,8,土,岩,MDF,y,an,2
1107,帖,"tiē,tiě,tiè",巾,8,火,帖,MHHK,t,ie,1
1108,罗,luó,罒,8,火,羅,LQU,l,uo,2
1109,帜,zhì,巾,8,金,幟,MHKW,zh,i,4
1110,帕,pà,巾,8,土,帕,MHRG,p,a,4
1111,岭,lǐng,山,8,土,嶺,MWYC,l,ing,3
1112,凯,kǎi,几,8,木,凱,MNMN,k,ai,3
1113,败,bài,贝,8,水,敗,MTY,b,ai,4
1114,账,zhàng,贝,8,火,賬,MTAY,zh,ang,4
1115,贩,fàn,贝,8,水,販,MRCY,f,an,4
1116,贬,biǎn,贝,8,水,貶,MTPY,b,ian,3
1117,购,gòu,贝,8,木,購,MQCY,g,ou,4
1118,贮,zhù,贝,8,金,貯,MPGG,zh,u,4
1119,图,tú,囗,8,火,圖,LTUI,t,u,2
1120,钓,diào,钅,8,金,釣,QQYY,d,iao,4
1121,制,zhì,刂,8,火,製,RMHJ,zh,i,4
1122,知,"zhī,zhì",矢,8,火,知,TDKG,zh,i,1
1123,迭,dié,辶,8,木,迭,RWPI,d,ie,2
1124,氛,fēn,气,8,水,氛,RNWV,f,en,1
1125,垂,chuí,丿,8,金,垂,TGAF,ch,ui,2
1126,牧,mù,牜,8,水,牧,TRTY,m,u,4
1127,物,wù,牜,8,水,物,TRQR,w,u,4
1128,乖,guāi,丿,8,木,乖,TFUX,g,uai,1
1129,刮,guā,舌,8,金,颳,TDJH,g,ua,1
1130,秆,gǎn,禾,8,木,秆,TFH,g,an,3
1131,和,"hé,hè,huò,huó,hú",禾,8,水,和,TKG,h,e,2
1132,季,jì,禾,8,木,季,TBF,j,i,4
1133,委,"wěi,wēi",禾,8,土,委,TVF,w,ei,3
1134,秉,bǐng,丿,8,水,秉,TGVI,b,ing,3
1135,佳,jiā,亻,8,木,佳,WFFG,j,ia,1
1136,侍,shì,亻,8,火,侍,WFFY,sh,i,4
1137,岳,yuè,山,8,木,岳,RGMJ,y,ue,4
1138,供,"gòng,gōng",亻,8,木,供,WAWY,g,ong,1
1139,使,shǐ,亻,8,金,使,WGKQ,sh,i,3
1140,例,lì,亻,8,火,例,WGQJ,l,i,4
1141,侠,xiá,亻,8,木,俠,WGUW,x,ia,2
1142,侥,"yáo,jiǎo",亻,8,木,僥,WATQ,j,iao,3
1143,版,bǎn,片,8,水,版,THGC,b,an,3
1144,侄,zhí,亻,8,金,侄,WGCF,zh,i,2
1145,侦,zhēn,亻,8,火,偵,WHMY,zh,en,1
1146,侣,lǚ,亻,8,火,侣,WKKG,l,ü,3
1147,侧,"cè,zè,zhāi",亻,8,金,側,WMJH,c,e,4
1148,凭,píng,几,8,金,憑,WTFM,p,ing,2
1149,侨,qiáo,亻,8,木,僑,WTDJ,q,iao,2
1150,佩,pèi,亻,8,水,佩,WMGH,p,ei,4
1151,货,huò,贝,8,水,貨,WXMU,h,uo,4
1152,侈,chǐ,亻,8,火,侈,WQQY,ch,i,3
1153,依,yī,亻,8,土,依,WYEY,y,i,1
1154,卑,bēi,十,8,水,卑,RTFJ,b,ei,1
1155,的,"de,dí,dì,dī",白,8,火,的,RQYY,d,e,5
1156,迫,"pò,pǎi",辶,8,水,迫,RPD,p,o,4
1157,质,zhì,⺁,8,火,質,RFMI,zh,i,4
1158,欣,xīn,斤,8,木,欣,RQWY,x,in,1
1159,征,zhēng,彳,8,火,徵,TGHG,zh,eng,1
1160,往,wǎng,彳,8,土,往,TYGG,w,ang,3
1161,爬,pá,爪,8,土,爬,RHYC,p,a,2
1162,彼,bǐ,彳,8,水,彼,THCY,b,i,3
1163,径,jìng,彳,8,木,徑,TCAG,j,ing,4
1164,所,suǒ,户,8,金,所,RNRH,s,uo,3
1165,舍,"shè,shě",人,8,金,捨,WFKF,sh,e,4
1166,金,jīn,金,8,金,金,QQQQ,j,in,1
